Filename,Label,seg_Start,seg_End,CPP_mean,CPP_mean001,CPP_mean002,CPP_mean003,CPP_mean004,CPP_mean005,CPP_mean006,CPP_mean007,CPP_mean008,CPP_mean009,Energy_mean,Energy_mean001,Energy_mean002,Energy_mean003,Energy_mean004,Energy_mean005,Energy_mean006,Energy_mean007,Energy_mean008,Energy_mean009,HNR05_mean,HNR05_mean001,HNR05_mean002,HNR05_mean003,HNR05_mean004,HNR05_mean005,HNR05_mean006,HNR05_mean007,HNR05_mean008,HNR05_mean009,HNR15_mean,HNR15_mean001,HNR15_mean002,HNR15_mean003,HNR15_mean004,HNR15_mean005,HNR15_mean006,HNR15_mean007,HNR15_mean008,HNR15_mean009,HNR25_mean,HNR25_mean001,HNR25_mean002,HNR25_mean003,HNR25_mean004,HNR25_mean005,HNR25_mean006,HNR25_mean007,HNR25_mean008,HNR25_mean009,HNR35_mean,HNR35_mean001,HNR35_mean002,HNR35_mean003,HNR35_mean004,HNR35_mean005,HNR35_mean006,HNR35_mean007,HNR35_mean008,HNR35_mean009,strF0_mean,strF0_mean001,strF0_mean002,strF0_mean003,strF0_mean004,strF0_mean005,strF0_mean006,strF0_mean007,strF0_mean008,strF0_mean009,sF0_mean,sF0_mean001,sF0_mean002,sF0_mean003,sF0_mean004,sF0_mean005,sF0_mean006,sF0_mean007,sF0_mean008,sF0_mean009,pF0_mean,pF0_mean001,pF0_mean002,pF0_mean003,pF0_mean004,pF0_mean005,pF0_mean006,pF0_mean007,pF0_mean008,pF0_mean009,shrF0_mean,shrF0_mean001,shrF0_mean002,shrF0_mean003,shrF0_mean004,shrF0_mean005,shrF0_mean006,shrF0_mean007,shrF0_mean008,shrF0_mean009,oF0_mean,oF0_mean001,oF0_mean002,oF0_mean003,oF0_mean004,oF0_mean005,oF0_mean006,oF0_mean007,oF0_mean008,oF0_mean009,
hmong_f4_10_a.mat,"S0",520.757,756.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.251,168.067,165.527,161.995,160.866,158.378,156.925,156.724,157.067,156.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
hmong_f4_10_a.mat,"S1",756.481,1105.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.696,158.661,161.354,163.244,165.830,167.932,172.186,177.213,180.467,180.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
hmong_f4_10_a.mat,"S2",1105.387,1440.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.972,181.400,184.472,188.261,193.165,195.053,193.338,188.760,181.935,176.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
hmong_f4_10_a.mat,"S3",1440.451,1656.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.982,172.604,169.120,168.360,172.863,168.909,163.117,158.418,156.488,154.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
